C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_108.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_108.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_108.jpg,0,0,0,3.101811
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_179.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_179.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_179.jpg,0,0,0,3.076026
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_250.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_250.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_250.jpg,0,0,0,3.056824
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_326.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_326.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_326.jpg,0,0,0,3.031401
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_396.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_396.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_396.jpg,0,0,0,3.006183
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_467.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_467.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_467.jpg,0,0,0,2.987402
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_536.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_536.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_536.jpg,0,0,0,2.962537
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_612.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_612.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_612.jpg,0,0,0,2.937872
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_679.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_679.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_679.jpg,0,0,0,2.919504
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_748.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_748.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_748.jpg,0,0.1643274,0,2.957623
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_822.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_822.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_822.jpg,0,0.4254447,0,3.274354
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_889.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_889.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_889.jpg,0,0.5909098,0,3.634595
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_31_958.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_31_958.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_31_958.jpg,0,0.8359515,0,4.322019
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_32_025.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_32_025.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_32_025.jpg,0,0.9974859,0,4.981663
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_32_100.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_32_100.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_32_100.jpg,0,1,0,5.906558
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_32_169.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_32_169.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_32_169.jpg,0,1,0,6.595636
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_32_238.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_32_238.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_32_238.jpg,0,1,0,7.508145
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_32_310.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_32_310.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_32_310.jpg,0,1,0,8.187873
C:\Users\karti\Desktop\IMG\center_2019_10_03_22_43_32_384.jpg,C:\Users\karti\Desktop\IMG\left_2019_10_03_22_43_32_384.jpg,C:\Users\karti\Desktop\IMG\right_2019_10_03_22_43_32_384.jpg,0,1,0,9.087995
